Record_ID,Actor_or_Title,Atomic_Fact_or_Proposition,Status_or_Weight,Evidence_IDs,Authority_IDs,Count_IDs,Predicate_IDs,Liability_IDs,Relief_IDs,Gap_or_Corrective_Action
F019,All defendants,Defendants allegedly do not provide a transparent consolidated record of all protein, immunoglobulin, and related laboratory trends.,Gap,E005; E023,A010; A011; A030; A033; A038,C01; C03; C04; C05; C08; C11,P04; P05; P06; P12,L01; L03,R01; R04; R06; R08,"Preserve portal screens, notices, requests, and complete records."
F020,All defendants,Participants allegedly are not given clear adverse-event reporting pathways, independent follow-up, or criteria for post-procedure medical evaluation.,Gap,E003; E009,A029; A030; A031,C01; C03; C04; C05; C08; C11,P03; P04; P05; P12,L01; L03,R01; R03; R05; R08,"Obtain aftercare sheets, emergency SOPs, adverse-event logs, and participant notices."
F021,Scientific literature,A randomized trial found larger reductions in multiple protein and blood biomarkers at higher plasmapheresis frequency.,Authority-supported,E021,A037,C01; C04; C05; C11,P04; P05; P06; P12,L03,R03; R04,Use accurately and do not state that the study proves serious long-term clinical injury.
F022,Scientific literature,The randomized trial reported that several measured biomarkers required more than four weeks to return to baseline after the final procedure.,Authority-supported,E021,A037,C01; C04; C05; C11,P04; P05; P06; P12,L03,R03; R04,Tie the study to provider schedules through records and expert evidence.
F023,Scientific literature,"An observational cohort described participant-specific IgG set points, lower IgG with repeated procedures, and recovery toward baseline over time.",Authority-supported,E021,A038,C01; C04; C05; C11,P04; P05; P06; P12,L03,R03; R04,Use study limitations and population details in the causation and materiality analysis.
F024,Scientific literature,"A study of pooled plasma reported lower total protein, albumin, IgG, and IgM in paid high-frequency United States Source Plasma pools than comparator pools.",Authority-supported,E021,A039,C01; C04; C05; C11,P04; P05; P06; P12,L03,R03; R04,Do not convert pooled-product findings into an unsupported individual diagnosis.
F025,Scientific literature,A prospective multicenter study reported no increased severe adverse-event or infection rate among participants with repeated low IgG measurements.,Contrary evidence,E021,A040,C01; C04; C05; C11,P04; P05; P06; P12,L08,R04; R06,"Address study design, endpoints, sponsorship, and the difference between biomarker change and clinical outcome."
F026,Federal regulatory framework,A center must determine that the participant is eligible and that no identified factor will cause the procedure to adversely affect participant health.,Authority-supported,E018,A030,C01; C04; C05; C08; C11,P04,L01; L03,R01; R03; R08,"Map each challenged collection to vitals, history, labs, deferral records, and decisionmaker."
F027,Federal regulatory framework,The responsible physician must obtain plasmapheresis informed consent and explain procedure risks and hazards at required intervals.,Authority-supported,E018; E020,A031; A036,C01; C04; C05; C08; C11,P05,L01; L03,R01; R03; R06,"Identify consent date, signer, delegate authority, exact risk explanation, and form version."
F028,Federal regulatory framework,The responsible physician must obtain and review periodic laboratory testing including total protein and immunoglobulin composition.,Authority-supported,E018; E023,A033,C01; C04; C05; C08; C11,P06,L01; L03,R01; R04; R08,"Audit every test date, result, reviewer, notice, deferral, and reinstatement."
F029,Federal regulatory framework,Automated plasmapheresis may not occur less than two days apart or more than twice in a seven-day period.,Authority-supported,E018,A033,C01; C03; C04; C05; C11,P07,L08,R03; R04; R06,Do not allege a frequency violation without date-level proof; focus on individualized safety and disclosure.
F030,Federal regulatory framework,Paid Source Plasma intended for injectable manufacturing is subject to testing-history conditions and a minimum 60-day quarantine.,Authority-supported,E019,A035,C01; C02; C04; C08; C11,P08; P10,L01; L04,R01; R03; R06,Obtain product-disposition records and determine which units or categories were subject to the rule.
F031,All defendants,Minnesota law states that a non-natural person may not practice medicine as defined in Minn. Stat. § 147.081 subdivision 3.,Contested,E024,A026; A027,C01; C04; C08; C11,P01; P02; P12,L01; L04; L08,R01; R03; R06,Separate pre-effective-date from post-effective-date conduct and map each alleged act to subdivision 3.
F032,All defendants,Whether compensated Source Plasma collection constitutes the Minnesota statutory practice of medicine is not resolved by the statutory text alone.,Contested,E024,A016; A026; A029; A031; A033,C08; C11; C01; C04,P01; P02,L08,R06,"Plead invasive conduct, screening, drug administration, laboratory review, physician supervision, and immunization; do not rely on labels alone."
F033,All defendants,A pure omission theory does not require a separate affirmative representation but every omission must be tied to a recognized disclosure duty and pleaded with particularity.,Authority-supported,E024,A003; A010; A011,C01; C04; C11,P12,L08,R06,"Map each omitted fact to its duty, transaction, knowledge basis, materiality, causal nexus, and injury."
F034,"BioLife Plasma Services, L.P.",BioLife allegedly offered approximately $45 for the first weekly procedure and $75 for the second.,Gap,E002; E016,A003; A012; A013,C01; C02; C03; C04,P04; P05; P07; P12,L01; L02,R01; R03,"Export the payment ledger, app offers, promotion terms, and visit dates."
F035,"BioLife Plasma Services, L.P.",BioLife allegedly offered a return-participant promotion of up to approximately $700 for completing eight procedures.,Gap,E002; E004; E016,A003; A008; A012; A013,C01; C02; C03; C04,P04; P05; P07; P12,L01; L02,R01; R03,"Preserve the original promotion, payout schedule, eligibility rules, messages, and completion record."
F036,"BioLife Plasma Services, L.P.",The automated collection device allegedly stopped three times during a BioLife procedure.,Gap,E007,A003; A029; A030; A031,C01; C04; C05; C06; C11,P03; P04; P05,L01; L03; L05,R01; R03; R08,"Obtain machine logs, alarm codes, staff names, incident report, and medical review."
