Record_ID,Actor_or_Title,Atomic_Fact_or_Proposition,Status_or_Weight,Evidence_IDs,Authority_IDs,Count_IDs,Predicate_IDs,Liability_IDs,Relief_IDs,Gap_or_Corrective_Action
F055,All defendants,"The alleged omitted facts include downstream product purpose, internal safety trends, scripts, compensation algorithms, and procedure records held primarily by defendants.",Partial,E009; E012; E019; E023,A010; A011,C01; C04; C11,P12,L01,R01; R03; R06,"For each omitted fact, identify who held it, why plaintiff lacked reasonable access, and when disclosure was due."
F056,Plaintiff and court,"Plaintiff may pursue plaintiff's own injury claims under Minn. Stat. § 8.31, subdivision 3a.",Authority-supported,E024,A001; A007; A009,C01; C02; C03; C08,P12,L08,R01; R03,"Use the statutory text accurately and separately plead injury, causation, and public benefit."
F057,Plaintiff and court,A nonlawyer's personal statutory action does not itself authorize representation of absent persons' individual claims.,Legal barrier,E024,A001; A005; A006,C01; C02; C03; C08,P12,L08,R01; R03; R06,"Do not assert personal representation of absent people; distinguish individual claims, public injunction, and any Rule 23 mechanism."
F058,All defendants,A $3.7 billion structural relief pool is requested as a conservative equitable minimum floor rather than a calculated ceiling or adjudicated liability amount.,Contested,E025,A001; A005; A015; A016,C01; C03; C08,P01; P02; P04; P05; P06; P12,L06,R02; R03; R04; R05; R06; R07; R08,"Develop an auditable Minnesota volume, participant, injury, restitution, and program-cost model."
F059,All defendants,At least fifty percent of the requested structural pool is allocated to direct participant remediation in the proposed model.,Contested,E025,A001; A005,C01; C03; C08,P12,L06,R02; R07,"Define eligibility, notice, claims process, offsets, appeal, and lawful representative authority."
F060,All defendants,"The proposed relief includes corrective notices and revised consent materials identifying procedure character, commercial product purpose, adjudicated risks, and participant rights.",Partial,E025,A001; A015; A016; A031,C01; C03; C08,P02; P05; P08; P12,L06,R03,Draft precise language limited to facts established by evidence or adjudication.
F061,All defendants,The proposed relief includes a cross-provider deferral and longitudinal safety system with privacy controls and auditable access rules.,Partial,E025,A015; A016; A028; A030; A033,C01; C03; C08,P04; P06; P11; P12,L06,R06; R08,"Specify minimum data, consent, security, retention, correction, access, audit, and appeal rules."
F062,All defendants,"The proposed relief includes independent testing, adverse-event reporting, and longitudinal health research.",Partial,E025,A015; A016; A030; A031; A037; A038; A040,C01; C03; C08,P04; P05; P06; P12,L06,R04; R05; R08,"Define independent governance, study design, participant consent, endpoints, publication, and conflicts."
F063,All defendants,"The proposed relief includes independent administration, claims audit, public reporting, and court oversight.",Partial,E025,A001; A005; A015; A016,C01; C03; C08,P12,L06,R07,"Define fiduciary duties, audit standards, conflicts, reporting cadence, appeals, and termination."
F064,All defendants,Punitive damages may not be demanded in the initial complaint and require a later motion supported by affidavits and a prima facie showing.,Procedurally deferred,E024,A024; A025,C12,P12,L09,R01,Exclude punitive damages from the initial prayer and preserve incident-specific evidence for a later motion.
F065,Plaintiff and court,Any medical-negligence count requiring expert testimony must comply with Minn. Stat. § 145.682's affidavit sequence.,Legal barrier,E024,A020,C05,P04; P05; P06,L08,R01; R08,Create a deadline calendar tied to service date and identify which allegations require expert testimony.
F066,Plaintiff and court,Current identified center events support Ramsey County as the principal venue theory.,Partial,E017; E024,A017,C01; C02; C03; C04; C05; C06; C07; C08; C11,P12,L08,R01,Verify each entity's place of business and plead where each material event occurred.
F067,Plaintiff and court,A Minnesota civil action is commenced by service under Rule 3 rather than by filing alone.,Authority-supported,E024,A018; A019,C01; C02; C03; C04; C05; C06; C07; C08; C09; C10; C11,P12,L08,R01,Verify registered agents and execute entity-specific service before relying on filing.
F068,All defendants,"No currently identified fact establishes unauthorized access, request, or release of a health record covered by the Minnesota Health Records Act.",Gap,E023; E024,A028,C09; C11,P11,L08,R06,"Do not plead C09 unless access logs, authorization, recipient, date, and compensatory loss establish every element."
F069,All defendants,"Consent to extraction and payment terms may create contract, transfer, and ownership defenses to unjust-enrichment and conversion theories.",Contested,E003; E012; E024,A023; A032,C07; C10,P08; P12,L04; L07; L08,R01; R02,Obtain complete agreements and plead restitution or conversion only in the alternative with a nonduplicative measure.
F070,All defendants,Regulatory predicates without private causes of action are included as facts and mapped to actionable fraud theories rather than mislabeled as standalone damages counts.,Authority-supported,E024,A003; A010; A011,C01; C04; C11,P01; P02; P03; P04; P05; P06; P07; P08; P09; P10; P11; P12; P13,L01; L08,R01; R03; R06,"For every predicate row, identify the omitted unlawful fact, duty, knowledge, materiality, transaction, causal nexus, and injury."
