Record_ID,Actor_or_Title,Atomic_Fact_or_Proposition,Status_or_Weight,Evidence_IDs,Authority_IDs,Count_IDs,Predicate_IDs,Liability_IDs,Relief_IDs,Gap_or_Corrective_Action
F001,All defendants,Each defendant operates one or more businesses that obtain human plasma through compensated plasmapheresis.,Partial,E001; E017,A001; A008; A013; A032,C01; C02; C03; C04; C07; C08,P08,L01; L02; L07,R01; R02; R03,"Verify legal names, assumed names, FDA identifiers, registered agents, and operating dates."
F002,All defendants,"The procedure removes blood through venipuncture, separates plasma from formed elements, and returns at least red blood cells to the participant.",Partial,E001; E018,A031; A033,C01; C04; C05; C06; C08; C11,P02; P03; P05,L01; L03; L05,R01; R03; R05,"Obtain each provider's SOP, device model, anticoagulant protocol, and visit records."
F003,All defendants,The federally defined product obtained through the procedure is Source Plasma intended for further manufacturing use.,Authority-supported,E019,A032; A035,C01; C02; C03; C04; C08; C11,P08; P10,L01; L02; L04,R01; R03; R06,"Tie each defendant and center to its FDA registration, license, product category, and actual disposition records."
F004,All defendants,Each defendant pays compensation contingent on completion of a plasma-extraction session.,Partial,E002,A007; A008; A013,C01; C02; C03; C04; C07,P08,L01; L02; L07,R01; R02,Export complete payment histories and promotional terms for every provider.
F005,All defendants,"Participant-facing communications allegedly emphasize donation, helping patients, or saving lives while minimizing commercial procurement and manufacturing.",Gap,E003; E004,A003; A008; A012; A013,C01; C02; C03; C04,P08; P12,L01; L02,R01; R03; R06,"Preserve exact advertisements, screenshots, forms, scripts, dates, speakers, and audiences."
F006,All defendants,Compensation schedules allegedly pay more for a second extraction in a weekly cycle than for the first.,Partial,E002; E004,A009; A013; A030; A031,C01; C02; C03; C04,P04; P05; P07; P12,L01; L02,R01; R03,"Collect historical compensation schedules, offer metadata, and plaintiff transaction records."
F007,All defendants,New-participant and return-participant bonuses allegedly require multiple procedures within a defined period to obtain the advertised total.,Gap,E002; E004,A008; A012; A013,C01; C02; C03; C04,P04; P05; P07; P12,L01; L02,R01; R03,Preserve every original offer and map each payout to each completed visit.
F008,All defendants,Some programs allegedly use prize drawings or variable rewards to encourage additional participation.,Gap,E004,A012; A013,C01; C02; C03; C04,P04; P05; P12,L01; L02,R01; R03,"Obtain official rules, messages, dates, and proof of plaintiff receipt or participation."
F009,All defendants,Participants complete or acknowledge consent and eligibility materials before extraction.,Partial,E003; E020,A030; A031; A036,C01; C04; C05; C06; C08; C11,P04; P05,L01; L03; L05,R01; R03; R06,"Collect every signed form, version identifier, video, interview record, and annual re-consent record."
F010,All defendants,Consent and recruitment materials allegedly classify the transaction as donation rather than clearly identifying a compensated commercial plasmapheresis medical practice.,Gap,E003,A010; A011; A029; A031; A032,C01; C02; C03; C04; C05; C08; C11,P02; P03; P05; P08; P12,L01; L02; L03,R01; R03; R06,"Quote the exact participant-facing language and identify provider, date, medium, speaker, and form version."
F011,All defendants,Participants allegedly are not told that the collected product is Source Plasma intended for further manufacturing use.,Partial,E003; E019,A010; A011; A032; A035,C01; C04; C08; C11,P08; P10; P12,L01; L04,R01; R03; R06,"Compare exact disclosures with FDA records, product disposition, and contracts."
F012,All defendants,Participants allegedly are not given complete information about downstream product categories or defendants' economic use of extracted plasma.,Gap,E003; E012; E019,A010; A011; A023; A032,C01; C04; C07; C10; C11,P08; P10; P12,L01; L04; L07,R01; R02; R06,"Obtain product categories, contracts or public filings, Minnesota-specific values, and exact disclosures."
F013,All defendants,"Participants allegedly are not given a complete description of cumulative protein, immunoglobulin, ferritin, and hemoglobin effects associated with repeated high-frequency plasmapheresis.",Partial,E003; E021,A010; A011; A030; A031; A037; A038; A039; A040,C01; C04; C05; C11,P04; P05; P06; P12,L01; L03,R01; R03; R04; R08,Obtain each consent version and knowledge timeline; state study findings and limitations precisely.
F014,All defendants,"Participants allegedly are not provided individualized longitudinal baselines, recovery-time analysis, or cumulative stopping criteria.",Partial,E003; E005; E023,A030; A031; A033; A037; A038,C01; C04; C05; C08; C11,P04; P05; P06; P12,L01; L03,R01; R03; R04; R08,"Obtain longitudinal tables, algorithms, thresholds, notices, deferral criteria, and reinstatement criteria."
F015,All defendants,Deferral and laboratory information allegedly is not interoperably shared among competing providers.,Gap,E006; E022,A030; A033; A038,C01; C03; C04; C08; C11,P04; P06; P12,L01; L03,R01; R04; R06; R08,"Identify deferral registries, vendors, shared fields, legal constraints, and plaintiff's provider sequence."
F016,All defendants,The same participant may receive different low-protein or reinstatement determinations from different providers using different records or thresholds.,Gap,E005; E006,A030; A033,C01; C03; C04; C05; C08; C11,P04; P06; P12,L01; L03,R01; R04; R06; R08,"Obtain synchronized results, thresholds, deferral codes, and reinstatement policies."
F017,Federal regulatory framework,Federal rules permit trained personnel to perform many collection activities under responsible-physician supervision.,Authority-supported,E018,A029,C08; C11,P03,L08,R06,Do not plead lack of a state phlebotomy credential as a per se federal violation without a specific applicable rule.
F018,All defendants,Defendants allegedly use throughput expectations or productivity pressure that can conflict with individualized safety decisions.,Gap,E008; E009,A024; A025; A029; A030,C01; C04; C05; C11; C12,P03; P04; P05; P12,L01; L03; L09,R01; R03; R08,"Obtain performance metrics, disciplinary policies, staffing levels, and witness testimony."
